year,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,30,29,36,34,28,23,20,21,26,22,19,19,20,7,4,25,36,39,34,11,22,35,36,11,19,14,10,24,17,7,23,28,25,24,24,32,32,41,40,27,22,32,35,41,44,38,20,25,22,19,25,29,31,29,25,34,19,18,18,27,38,35,19,29,25,33,26,28,29,30,26,38,45,44,46,38,10,21,20,28,30,42,38,41,38,46,44,34,28,40,43,37,45,50,56,47,44,54,58,59,62,69,58,63,81,60,74,68,82,88,64,49,60,54,56,63,65,73,80,73,59,49,59,68,64,80,86,74,67,58,60,63,66,71,75,83,61,61,71,77,91,90,78,56,58,73,61,80,63,66,74,77,78,76,79,71,78,89,86,69,67,66,76,67,78,81,81,82,85,92,94,97,89,82,81,72,94,99,95,81,90,95,89,76,79,89,90,84,85,74,87,87,74,78,84,87,85,80,82,83,78,84,82,92,96,93,82,74,67,82,84,88,84,84,82,82,83,80,86,93,87,72,81,70,62,76,69,75,66,73,76,72,80,85,79,74,76,84,75,66,76,76,78,82,69,80,80,85,87,69,60,73,87,66,62,66,78,85,87,81,66,61,72,82,85,69,73,78,68,67,76,52,58,66,70,64,67,79,69,68,68,51,59,49,48,63,59,63,53,53,62,52,61,53,66,54,45,41,46,62,60,35,41,41,47,51,50,54,59,53,54,50,50,48,43,38,42,47,53,54,38,56,67,63,48,41,42,37,40,45,38,36,50,30,33,45,50,52,65,57,29,31,34,35,13,17,33,34,32,38,39,42,41,32,9,27,39,52,43,33,42,25,21,20,30
,38,45,24,25,30,16,12,7,15,16,16,30,24,36,29,12,31,41,38,34,29,31,39,39,21,31,34,28,7,23,31,34,13,0,17,27,41,34,33,12,16,18,13,20,31,34,34,42,30,24,14,10,28,21,31,33,30,37,41,44,42,37,40,47,37,40,58,57,33,45,42,40,41,41,46,46,46,38,43,45,41,40,36,43,44,49,50,51,39,47,40,57,49,49,61,67,34,45,40,40,36,42,51,56,52,57,66,45,42,42,45,63,76,82,83,70,75,70,81,77,83,76,82,76,55,68,55,64,74,56,69,63,75,86,81,78,63,72,70,69,60,75,79,75,68,75,63,72,85,78,66,73,62,73,74,76,78,69,72,83,91,89,92,88,70,62,64,66,73,81,78,75,83,82,75,72,83,83,81,89,87,89,86,88,85,83,78,76,72,70,78,70,80,89,90,70,74,84,82,98,90,85,86,82,91,83,87,81,89,71,78,77,81,81,78,76,71,75,78,86,68,77,83,83,87,72,87,87,81,81,76,86,90,90,77,65,67,74,81,68,78,80,83,88,90,72,71,69,67,78,71,65,70,61,76,75,76,86,82,86,90,82,72,62,69,59,71,60,70,73,54,57,60,66,52,61,64,70,57,67,69,73,58,68,58,66,67,64,60,66,62,52,52,66,66,57,58,64,52,44,51,57,64,69,61,51,45,40,49,56,44,54,50,58,34,37,44,24,38,51,60,59,46,54,37,31,35,39,42,48,40,31,31,28,35,39,29,32,33,33,32,30,31,36,40,37,28,23,27,19,8,10,-1,-10,4,29,31,36,32,16,28,30,34,37,32
,23,20,22,13,11,18,18,16,14,26,30,33,24,31,37,29,21,26,34,5,-1,1,19,29,42,34,23,22,21,28,35,41,21,29,39,38,39,35,24,22,33,40,25,21,21,-12,11,22,22,35,45,41,45,50,50,20,27,28,36,33,25,9,19,34,25,31,15,23,44,52,41,39,40,40,36,42,46,34,48,37,34,35,45,52,64,56,30,32,33,42,58,38,29,44,41,23,34,39,42,34,39,48,54,38,35,40,48,51,54,47,48,58,71,69,64,54,50,52,53,49,37,60,49,43,67,62,78,56,68,59,58,58,56,63,67,62,79,69,69,78,60,66,78,80,77,70,79,72,69,72,76,76,76,76,90,80,65,54,70,74,74,72,82,77,74,87,71,70,79,79,81,78,87,80,88,91,88,84,86,78,67,71,81,82,77,73,71,81,80,88,90,92,88,89,90,86,76,81,84,75,78,84,69,80,86,85,83,87,77,78,75,85,88,89,78,68,77,71,63,77,77,68,80,85,83,85,77,74,74,68,74,81,84,83,88,80,77,70,66,71,79,73,79,68,68,69,80,78,84,84,78,78,67,70,58,69,77,78,65,56,56,70,73,62,77,68,54,56,58,72,63,62,66,74,64,53,52,50,65,66,74,73,48,61,68,78,70,61,68,67,48,46,50,48,49,46,42,46,48,49,50,56,53,45,56,54,47,42,53,53,53,62,62,44,38,40,43,35,34,33,32,38,52,46,40,32,27,31,42,44,42,30,30,34,36,37,39,36,39,32,29,37,44,36,30,31,16,16,7,8,30,31,33,33,34,12,1,16,28,36,39,38,11,24,30
,28,25,30,25,37,35,25,9,13,28,30,30,24,33,33,13,26,33,33,37,40,40,34,29,30,40,41,34,29,23,24,21,21,17,19,39,42,28,3,22,18,13,12,21,29,31,23,37,32,16,30,39,38,35,42,32,36,35,37,25,12,25,11,18,36,39,36,22,21,34,48,41,23,32,39,43,37,19,34,34,40,38,46,56,50,41,41,44,38,45,46,43,38,40,40,48,45,38,62,51,45,37,37,39,46,38,42,50,64,53,44,56,63,48,43,50,51,53,69,71,65,61,78,89,89,87,80,60,63,64,68,75,81,66,69,77,78,56,59,66,76,69,79,81,80,78,91,85,80,83,90,81,80,72,71,76,77,66,69,75,59,78,81,74,74,71,83,81,65,67,78,59,77,84,72,70,82,91,94,96,78,80,82,85,88,88,88,93,96,91,85,89,88,79,83,86,86,75,77,84,76,72,82,87,88,79,81,83,88,80,81,84,90,92,92,95,93,76,78,83,89,95,101,91,95,96,97,96,93,78,73,77,84,88,77,66,72,71,74,81,76,74,82,79,85,78,77,70,80,71,61,68,73,81,75,66,70,71,76,82,76,72,78,79,63,55,62,66,56,53,64,59,65,66,52,49,62,70,69,75,73,51,61,64,64,69,52,44,46,62,72,59,52,43,50,54,51,61,51,44,48,40,38,54,64,65,65,64,47,34,34,38,50,54,49,37,43,42,40,39,49,38,41,43,40,35,36,34,34,37,42,41,30,34,30,19,18,31,38,40,41,41,38,37,30,31,25,29,31,36,33,21,6,26,30,16,26,28,35,35,18,22,9,23,30
,44,33,23,34,19,3,16,24,22,2,14,30,27,8,15,14,13,16,23,23,25,29,27,9,2,10,14,23,14,26,20,22,14,20,23,21,32,19,31,24,37,38,29,22,23,36,41,31,24,20,25,36,41,42,30,35,41,41,36,42,42,49,30,40,41,28,38,39,35,41,35,48,54,59,55,62,62,51,46,38,39,41,55,63,71,64,79,80,63,54,67,62,57,47,46,46,62,69,76,81,84,82,84,67,44,59,68,67,49,58,61,45,45,62,57,64,50,47,53,56,53,57,62,51,61,61,65,65,53,46,52,57,60,66,53,59,68,54,55,69,69,86,59,60,67,82,64,65,69,58,49,57,58,61,63,60,62,69,72,79,75,79,77,80,90,89,79,83,87,79,75,80,82,81,84,88,75,81,88,89,92,86,79,77,80,85,83,82,79,87,79,69,76,80,84,67,72,78,84,85,82,79,78,84,87,88,81,78,79,79,87,88,86,81,81,68,80,76,65,81,88,88,89,91,86,87,76,79,81,86,88,91,93,77,71,71,70,70,73,81,89,84,74,87,72,72,76,83,90,94,94,90,84,79,77,68,65,78,58,62,59,55,61,72,60,68,69,82,72,71,75,71,50,58,65,47,52,64,69,65,66,52,49,52,59,44,47,46,46,55,71,75,64,67,70,50,44,51,47,45,44,61,54,57,48,51,57,43,44,51,60,66,67,53,46,53,62,52,39,37,43,47,48,39,29,44,39,32,34,35,37,36,35,23,25,27,34,31,33,35,36,40,43,38,20,12,20,27,30,23,12,23,17,11,14,11,14,18,35,38,36,30,32,37,38
,26,12,28,39,46,52,54,37,38,41,37,37,38,7,6,3,22,22,21,13,30,30,24,31,30,34,15,28,29,24,40,30,31,14,8,24,39,36,21,34,30,21,34,41,55,30,29,33,24,21,28,12,21,23,32,21,14,26,30,40,43,39,46,38,50,49,50,45,31,30,43,62,68,48,52,55,56,52,60,68,62,42,59,54,66,63,78,84,45,33,44,61,43,51,43,38,43,47,44,37,44,45,52,60,53,45,50,61,52,44,53,68,81,63,73,57,41,51,56,61,60,50,47,65,50,55,58,53,53,59,58,57,63,75,72,71,55,58,64,72,67,70,77,78,91,66,68,67,72,75,57,53,63,71,68,70,71,74,83,69,74,75,84,67,68,76,81,84,68,71,77,72,67,86,90,92,94,89,93,96,93,88,75,76,84,86,87,76,74,81,82,83,78,81,87,69,75,83,91,94,80,70,79,76,85,76,76,77,85,88,79,74,70,66,68,85,85,85,81,89,91,76,72,70,76,76,81,78,81,77,68,74,77,72,71,65,68,71,71,78,66,69,74,79,71,68,71,76,76,74,64,65,81,71,58,64,71,74,79,84,87,85,89,78,79,82,68,76,72,78,82,76,64,41,48,66,76,80,82,82,60,63,67,71,75,58,57,61,66,57,55,52,45,57,63,66,70,71,65,73,64,71,70,69,54,48,59,58,42,54,56,51,48,51,52,54,43,42,35,47,52,38,44,52,48,49,33,40,50,44,44,34,39,34,41,14,28,36,35,38,43,44,50,54,48,50,56,28,27,17,44,34,30,28,37,36,36,38,31,23,14,19,35,36,16
,10,29,17,19,29,27,31,32,3,13,41,40,18,35,42,32,33,35,28,43,44,12,22,42,42,40,46,47,30,36,40,30,26,30,40,23,13,29,22,20,25,23,17,27,40,43,32,21,32,21,11,8,18,27,25,31,31,27,25,36,36,38,34,36,39,35,37,37,34,38,46,48,47,43,36,33,31,40,44,41,42,43,47,49,23,30,33,42,34,41,42,43,37,50,43,69,47,42,40,57,71,64,43,57,56,39,46,51,40,43,39,53,61,60,49,58,54,48,62,58,46,59,62,62,70,63,55,42,46,58,71,82,67,53,70,60,64,59,77,71,63,67,78,71,75,75,71,70,79,62,63,72,60,60,67,72,78,70,58,62,79,92,73,75,68,68,64,74,71,67,68,79,84,89,79,65,85,85,88,92,88,90,76,78,79,85,84,79,73,84,90,89,84,85,91,89,90,87,87,75,81,82,71,83,80,85,89,83,73,88,88,84,68,79,82,85,89,93,93,90,81,89,90,93,97,96,89,70,81,80,84,85,80,85,93,97,97,72,82,85,72,68,74,77,78,80,84,84,88,89,77,84,88,87,90,81,86,86,73,75,82,69,65,72,73,54,66,52,51,48,60,60,55,51,52,64,73,72,79,83,71,54,65,71,75,72,74,79,84,85,84,80,75,65,66,74,48,62,70,74,75,59,49,55,52,58,62,54,56,53,56,50,42,45,45,42,42,37,34,33,35,38,35,36,34,42,47,36,34,37,30,37,30,32,32,35,43,38,20,22,28,43,35,24,28,31,19,26,38,45,31,29,15,21,24,22,18,16,24,27,22,25,14,9,15
,17,24,26,32,33,33,27,30,35,24,15,34,35,24,10,26,26,19,14,31,33,32,19,7,13,20,25,19,23,1,6,14,30,21,12,15,21,27,23,4,15,24,32,33,42,19,38,46,37,46,46,24,28,23,31,39,34,36,26,25,32,28,21,5,29,32,32,41,38,24,28,28,34,45,54,38,47,50,57,58,55,49,60,38,54,63,28,44,50,71,65,52,37,45,69,60,63,61,56,40,49,66,50,43,44,60,40,59,54,71,54,66,65,72,62,60,54,49,55,46,51,59,62,70,72,70,57,50,60,58,65,63,62,51,67,57,62,53,52,60,53,50,59,64,74,78,83,83,76,75,79,84,78,86,88,66,74,64,61,64,62,61,69,69,77,70,73,73,72,73,81,75,77,64,81,81,83,83,83,93,89,82,81,85,83,87,71,76,83,88,93,94,96,81,75,82,89,81,90,81,87,86,78,67,79,82,74,88,86,84,87,83,86,79,81,78,73,72,69,76,76,80,83,70,80,73,80,83,86,83,79,83,84,87,86,86,95,96,95,92,87,71,68,72,70,81,84,88,88,87,88,85,71,76,84,92,67,63,64,70,74,72,76,59,57,60,58,69,72,75,75,82,81,73,60,53,56,60,69,72,64,64,64,67,64,57,57,58,63,58,42,44,41,43,52,57,57,52,47,42,56,54,60,59,53,56,58,60,68,75,58,56,58,74,51,51,48,43,42,48,53,56,49,59,45,46,45,43,43,49,52,42,36,35,41,40,44,50,54,48,48,43,38,35,32,40,45,32,27,34,38,30,24,24,34,36,31,17,15,8,25,34,47,46,53
,36,29,30,34,41,46,37,43,46,42,21,24,29,29,26,42,42,39,53,34,25,35,28,33,18,13,20,38,38,24,30,32,24,25,25,15,24,38,40,45,35,15,33,38,28,48,43,35,41,41,24,27,36,34,41,39,33,32,38,32,29,32,36,48,42,24,36,39,34,32,28,32,41,33,28,32,33,20,30,47,59,55,45,56,63,64,61,52,49,42,48,52,50,53,64,49,50,49,41,53,56,68,75,60,62,48,43,54,49,58,53,78,67,48,52,52,63,48,55,72,80,78,77,81,76,79,67,73,76,56,57,69,67,65,65,75,79,82,79,56,67,64,66,76,61,57,60,63,60,58,68,75,83,87,85,85,83,64,58,69,78,89,92,94,89,88,92,92,92,87,79,93,83,77,80,87,88,77,81,85,91,93,95,96,93,76,81,77,84,89,77,78,89,84,77,86,88,87,83,93,90,82,82,80,88,78,93,98,95,98,94,78,82,89,86,86,87,90,91,97,93,97,87,83,82,83,79,86,69,73,66,69,80,89,90,73,76,92,92,83,70,79,83,80,73,80,84,80,70,62,54,60,68,74,74,71,76,61,71,75,69,77,59,66,62,58,56,58,64,65,75,61,66,57,65,68,71,68,64,60,68,76,76,85,81,63,71,60,64,68,65,66,70,71,71,54,50,50,55,51,58,67,65,58,46,53,58,42,34,37,43,57,42,57,38,38,44,51,53,48,40,43,40,39,35,24,35,30,39,23,23,32,39,44,38,37,25,32,40,26,24,19,18,27,41,52,50,31,27,29,37,44,43,42,47,56,57,25,32,49,55,44,35,14,25
1950,36,40,52,63,57,30,22,10,26,41,41,26,45,49,34,42,27,42,16,17,21,35,36,33,43,55,37,33,49,45,22,26,34,31,31,15,33,14,23,40,36,40,37,29,31,33,37,30,36,35,4,6,9,28,35,18,10,8,26,36,16,2,15,42,28,33,50,32,16,31,33,22,32,31,23,31,26,33,40,43,50,40,36,40,42,41,59,44,31,40,45,46,51,71,63,30,39,42,39,41,51,42,32,45,47,58,58,63,68,58,51,45,42,49,53,50,68,52,51,54,46,60,64,51,69,81,64,51,67,74,63,71,72,63,68,59,64,55,55,66,71,74,75,79,75,80,86,75,72,76,81,73,79,68,66,71,79,86,89,91,80,68,75,81,74,84,81,70,65,69,79,77,73,89,85,88,86,86,76,82,80,80,82,81,75,84,79,81,86,89,87,80,85,91,72,81,79,87,82,80,73,77,82,86,81,78,80,80,81,83,77,75,75,66,79,73,71,76,76,83,85,85,65,73,76,74,80,79,88,77,72,78,72,78,81,87,84,73,86,85,70,65,71,75,63,70,69,64,73,80,79,80,64,63,68,70,61,67,57,58,65,61,65,55,59,55,44,57,58,62,64,65,77,80,82,76,57,61,62,67,71,71,64,57,61,51,50,52,56,62,58,75,65,59,46,47,47,54,40,47,54,66,67,55,71,75,45,46,46,49,59,61,65,50,44,37,38,44,49,57,53,36,53,58,39,29,32,42,52,52,44,35,35,36,35,34,53,57,32,25,40,45,31,32,32,33,30,31,33,31,29,26,20,22,27,30,34,36,18,3,13,25,29,32,31
,29,40,44,50,29,33,15,16,23,35,39,32,29,32,39,30,36,40,46,52,52,11,33,40,33,24,20,15,15,14,15,26,22,17,25,32,35,46,23,0,10,30,41,41,20,19,36,36,39,40,38,40,37,30,31,40,42,41,30,28,35,34,35,40,44,45,38,23,29,29,43,45,44,40,38,34,35,47,37,38,31,35,42,34,28,42,61,57,53,48,52,48,37,46,44,53,58,59,46,50,46,55,56,52,50,46,42,46,57,48,51,57,54,55,50,58,67,64,67,61,67,61,53,54,62,63,53,65,70,55,49,51,53,72,85,82,54,70,80,81,78,85,61,64,75,85,74,73,67,68,78,85,65,74,71,65,76,66,74,80,75,65,76,77,59,61,75,75,84,89,86,81,77,76,81,75,73,82,75,69,73,69,78,77,83,67,77,86,86,86,87,87,68,80,85,87,83,76,78,75,72,79,80,78,84,85,89,80,70,82,85,83,80,77,69,64,69,75,77,69,85,80,80,76,79,76,73,73,58,64,79,71,72,70,71,69,76,79,74,82,86,84,80,67,62,60,74,70,68,69,70,77,80,73,85,84,82,76,72,70,71,74,75,79,80,70,67,58,54,66,58,48,49,59,65,72,78,79,60,53,57,52,55,51,50,51,61,63,73,74,72,63,47,60,60,67,69,55,59,57,46,42,52,60,35,33,38,33,33,33,43,42,42,51,45,45,58,64,59,45,35,28,25,22,28,41,51,38,32,35,28,28,39,42,44,45,43,54,60,60,58,58,40,32,31,34,16,21,21,3,14,19,14,27,43,40,27,31,24,24,20,17,33,40,38
,47,40,28,29,31,23,10,12,21,24,23,36,37,29,45,41,36,42,31,41,31,31,36,12,26,41,36,33,9,14,26,45,45,44,40,42,33,27,35,30,33,36,24,12,20,20,28,32,25,25,28,35,28,30,34,31,33,41,32,21,28,25,37,38,32,29,34,39,39,44,38,31,25,26,23,36,42,38,42,50,39,36,44,38,46,39,39,42,48,44,47,41,50,47,47,45,50,47,55,63,53,47,49,52,45,57,67,65,70,65,58,73,61,61,62,63,74,64,72,57,52,56,54,49,60,60,49,64,68,73,60,60,56,59,54,55,59,66,70,70,57,55,72,77,65,66,63,71,68,68,77,64,75,79,68,78,77,72,78,82,76,58,68,75,82,85,73,88,76,76,65,75,76,81,85,85,90,76,76,69,77,83,85,88,88,86,91,93,88,78,71,80,89,85,93,92,80,86,89,84,80,75,90,93,75,82,90,89,90,75,83,80,80,84,80,83,85,77,83,83,88,70,86,75,80,80,86,75,76,73,78,82,76,64,66,73,82,90,92,94,88,76,74,76,85,72,76,79,74,61,69,73,77,87,79,83,72,64,73,69,76,75,69,66,65,64,64,68,67,59,71,80,63,70,67,52,60,56,49,42,55,58,47,55,60,65,64,69,58,50,47,48,35,47,57,60,57,42,49,62,58,36,53,55,64,65,59,43,47,48,41,34,36,36,37,34,40,50,56,46,38,42,52,51,56,57,54,51,44,55,49,39,31,33,26,29,37,42,38,38,34,41,46,51,54,34,32,32,29,39,41,38,26,26,27,34,30,40,41,38,33,13,28,29,13
,18,36,33,31,18,28,19,11,25,35,40,32,39,39,46,47,25,42,39,38,31,32,39,52,49,19,31,39,29,27,44,43,12,14,14,29,42,41,35,34,27,26,30,32,37,35,33,29,26,35,48,58,32,29,38,36,39,41,33,18,18,36,57,35,34,25,20,28,18,38,47,47,40,43,43,39,47,40,39,51,58,64,59,52,59,56,47,56,43,46,53,51,55,63,53,48,46,56,62,55,48,58,45,40,55,51,50,49,49,38,43,60,59,59,54,50,49,45,50,57,49,41,60,72,73,76,76,72,83,86,70,80,73,60,57,69,60,70,75,80,79,73,62,71,67,67,67,58,60,64,68,72,67,66,59,79,83,76,77,85,68,69,76,75,75,82,86,87,80,89,91,95,86,73,72,82,85,86,90,78,89,78,88,76,78,87,80,82,78,68,73,81,85,70,85,86,86,94,99,89,82,84,88,76,69,79,85,85,78,85,82,76,70,71,73,75,73,74,82,82,79,75,73,83,83,84,80,78,74,72,70,70,76,79,82,78,85,82,85,90,92,91,86,89,90,90,90,89,68,63,69,65,66,76,72,69,62,67,65,56,64,70,70,73,55,52,64,70,76,78,67,56,73,68,70,80,70,56,49,40,51,58,51,51,52,52,63,65,67,69,72,72,65,64,60,67,61,55,47,62,63,55,54,61,50,61,63,49,33,36,44,42,47,48,51,40,41,42,50,49,60,65,63,69,62,69,68,52,58,44,42,37,34,36,40,32,40,55,55,48,48,50,44,53,42,47,42,48,45,27,16,22,27,43,46,47,46,26,34,37,26,41,40,37,19
,27,34,37,22,26,27,25,10,14,0,-6,8,5,22,32,32,24,15,32,46,47,3,17,32,35,43,33,14,11,30,20,20,38,43,32,31,27,25,32,32,27,32,7,8,37,49,49,35,40,49,49,51,44,30,43,38,35,41,54,59,49,49,33,26,30,37,34,37,37,32,30,32,34,30,30,36,33,47,49,36,36,43,40,42,51,35,49,44,27,35,39,44,30,25,45,51,62,60,43,55,50,47,52,52,51,50,48,62,58,61,67,79,60,60,63,50,44,54,69,76,77,76,59,51,54,58,61,53,50,51,55,51,65,74,78,77,67,63,60,63,60,54,66,69,69,60,63,72,75,74,80,84,73,65,73,65,59,61,65,75,83,73,73,72,78,69,73,79,79,86,83,89,91,78,80,82,81,72,68,65,72,83,78,75,78,67,78,72,69,70,77,82,83,87,80,70,70,81,81,83,83,78,75,75,69,75,80,84,70,84,85,78,78,81,78,75,69,78,78,72,79,78,68,67,75,80,78,83,73,78,77,77,75,79,82,79,90,72,72,68,71,64,60,69,78,77,71,81,66,76,68,65,68,62,59,53,58,65,54,53,62,63,71,66,60,58,63,61,69,64,72,72,77,79,72,66,72,64,53,45,57,58,62,71,78,79,77,78,76,60,58,47,55,55,50,67,59,52,45,53,48,50,48,41,44,45,49,47,44,42,47,47,39,37,49,48,38,46,34,48,56,56,63,64,59,34,36,40,36,33,41,47,41,40,33,23,23,30,28,16,20,33,37,35,29,28,30,34,36,30,28,39,37,21,13,16,31,32,17,37,38,46,35,38,36
,36,40,37,30,23,32,23,23,25,23,16,18,13,20,24,32,26,19,18,16,11,26,32,28,27,32,25,9,19,12,4,3,-3,6,16,30,35,32,17,33,45,45,16,10,22,31,31,39,31,34,40,43,41,35,32,33,38,38,31,42,39,19,28,32,36,22,26,39,51,51,38,40,34,48,43,29,29,25,44,32,37,34,37,34,33,29,25,31,46,52,48,52,38,50,58,65,43,37,52,62,55,58,58,63,70,53,53,69,55,57,53,70,58,61,48,49,48,55,69,69,71,75,75,82,82,61,63,67,47,60,67,70,72,64,69,73,60,71,60,69,79,85,80,82,76,68,77,80,82,77,69,57,63,74,72,76,83,79,72,73,81,79,68,70,65,78,82,85,91,87,84,80,83,80,77,76,74,78,85,87,88,90,86,85,93,85,78,84,89,90,94,75,74,77,88,93,89,89,87,77,85,92,97,92,75,80,89,78,78,84,88,92,95,86,85,93,95,85,83,69,80,82,75,75,75,85,87,79,83,85,86,90,92,89,67,72,78,79,71,66,73,79,80,73,71,74,80,75,75,64,62,68,74,76,64,56,68,65,64,76,82,84,72,55,57,64,57,58,60,66,68,68,63,62,62,63,64,58,55,74,74,68,74,74,68,65,59,62,57,48,55,57,58,53,42,51,67,41,41,48,62,68,60,52,50,57,52,43,42,44,48,43,41,46,43,52,52,51,40,48,49,35,30,28,34,30,42,45,34,29,39,42,23,34,29,32,36,37,39,21,24,25,24,27,23,28,27,29,32,24,30,30,15,4,-3,2,11,38,41,16,17,19,27,28,10
,5,21,31,37,34,19,10,14,45,41,35,33,32,26,27,28,24,18,12,14,23,29,25,21,21,23,25,24,34,34,17,27,31,29,24,35,33,35,39,37,40,37,38,36,38,41,21,19,29,34,35,22,18,19,30,45,29,30,24,33,43,42,35,34,41,34,33,25,34,43,32,37,35,29,19,19,27,25,31,42,42,37,22,25,34,27,31,40,35,34,41,46,47,49,52,53,53,44,43,43,52,53,50,47,51,62,52,51,43,44,45,43,47,41,51,47,59,60,54,55,54,61,64,47,62,55,50,48,65,52,64,77,74,70,65,60,50,60,62,54,69,78,69,50,59,65,56,54,72,66,83,76,65,80,75,68,75,82,84,67,65,73,85,87,92,92,76,75,63,69,73,74,80,68,77,73,79,81,74,68,72,87,79,78,69,69,62,78,82,85,76,81,72,72,78,78,72,71,75,78,80,72,78,81,80,78,73,82,79,64,69,77,75,71,76,81,85,84,84,86,89,79,83,77,81,81,74,83,88,90,74,74,68,76,75,70,75,68,80,76,64,67,66,85,84,77,81,85,77,65,61,61,64,59,71,77,76,55,50,62,55,64,60,56,63,59,62,51,57,60,65,70,69,54,60,64,56,53,62,61,64,56,47,45,53,62,72,79,78,78,56,52,58,65,72,68,59,52,50,51,51,61,63,67,68,58,60,60,54,62,60,58,42,28,39,55,40,52,67,60,43,32,33,42,54,44,32,26,33,40,35,34,38,29,31,24,28,37,35,51,52,34,22,33,42,48,29,23,37,43,41,40,33,39,46,34,38,39,38,21,32,38,32,12,11
,5,4,18,33,23,19,29,25,34,25,19,29,28,4,-6,15,10,11,22,34,42,51,51,14,21,21,25,28,22,21,32,27,27,37,39,30,39,43,36,38,39,18,22,31,36,29,37,31,36,33,24,29,37,40,36,48,60,33,26,32,36,27,23,29,33,41,42,33,31,28,45,52,56,57,52,38,33,41,43,44,52,46,38,40,46,46,43,47,38,45,53,49,35,37,40,49,40,41,38,47,47,42,41,38,47,58,56,61,70,76,73,68,76,72,63,78,79,68,68,56,59,50,41,58,61,67,79,80,83,60,67,65,64,64,61,47,56,58,58,45,66,69,74,69,78,72,78,57,70,75,79,82,69,66,75,68,63,58,65,75,78,86,78,82,81,91,90,89,93,82,73,82,89,88,84,80,82,85,86,78,69,66,71,75,84,81,76,82,85,83,66,70,78,83,82,67,75,82,86,88,88,76,74,71,75,75,84,84,78,77,82,85,78,82,87,75,68,70,74,85,83,79,81,65,68,76,75,72,72,78,81,79,68,73,80,82,83,73,69,65,69,74,77,79,74,85,85,64,71,72,63,67,71,77,80,79,77,73,76,71,74,76,69,80,85,66,61,68,59,47,60,67,72,68,56,52,56,62,68,66,66,74,62,49,53,56,60,69,72,68,60,53,48,48,60,59,62,50,34,35,46,45,57,62,51,50,48,44,45,45,53,58,57,35,35,49,54,58,59,54,52,47,54,46,44,39,37,43,31,19,33,49,53,41,36,33,32,25,28,38,45,33,25,28,35,13,22,34,34,41,37,34,48,62,61,43,51,51,32,49,38,39,42,33,40
